length,maxspeed,lanes,highway
132.808,25 mph,"['2', '1']",motorway_link
133.751,25 mph,"['2', '3']",motorway
88.50999999999999,25 mph,"['2', '1']",motorway_link
36.784000000000006,25 mph,2,motorway
92.95399999999998,25 mph,"['2', '1']",motorway_link
25.113999999999997,25 mph,2,motorway
99.604,25 mph,"['2', '1']",motorway_link
156.099,25 mph,2,motorway
73.91899999999998,25 mph,5,trunk
130.5,25 mph,1,primary
168.435,25 mph,1,secondary
274.624,,6,secondary
86.04599999999999,25 mph,4,secondary
89.32400000000001,25 mph,4,secondary
148.857,,1,motorway_link
146.11700000000002,,,tertiary
110.53200000000001,25 mph,1,tertiary
18.644,25 mph,2,secondary
158.032,25 mph,4,secondary
80.56299999999999,25 mph,5,secondary
134.505,,1,residential
131.688,25 mph,2,residential
100.10099999999998,25 mph,"['2', '1']",motorway_link
160.37,25 mph,2,secondary
87.67899999999999,25 mph,1,trunk
12.466,25 mph,1,motorway_link
164.293,25 mph,1,residential
78.256,,4,secondary
134.546,25 mph,1,residential
79.59,25 mph,6,secondary
15.531,,1,secondary
401.584,,,motorway_link
1189.184,50 mph,3,motorway
73.948,,,residential
140.082,,2,secondary
29.969,,2,secondary
5.447,,,secondary
353.97700000000003,,1,motorway_link
143.549,25 mph,,residential
79.828,25 mph,2,secondary
296.62699999999995,,2,motorway_link
59.075,25 mph,3,primary
86.70100000000001,,5,primary
118.429,,3,residential
273.043,,,residential
86.129,25 mph,4,secondary
80.76299999999999,25 mph,4,secondary
72.661,25 mph,2,primary
951.1760000000003,,2,motorway_link
1660.664,50 mph,3,motorway
29.135,,2,secondary
14.532,25 mph,,residential
80.542,25 mph,2,secondary
123.98499999999999,25 mph,"['2', '3']",secondary
274.253,25 mph,2,residential
89.324,25 mph,4,secondary
232.1,25 mph,,secondary
78.22099999999999,,2,secondary
86.158,,,secondary
321.042,,,secondary
18.417,,,secondary
1047.727,50 mph,"['4', '3']",motorway
119.76500000000001,,1,motorway_link
204.131,25 mph,1,residential
130.803,50 mph,3,motorway
232.10000000000002,25 mph,,secondary
82.751,25 mph,,secondary
485.8979999999999,30 mph,2,motorway_link
297.49999999999994,40 mph,"['2', '3']",motorway
121.04299999999999,25 mph,1,secondary
30.471,25 mph,2,secondary
133.34199999999998,20 mph,,residential
156.19299999999998,,,motorway_link
112.56200000000001,25 mph,1,residential
159.98000000000002,25 mph,2,residential
93.48199999999999,25 mph,4,residential
33.213,,,unclassified
119.49500000000002,25 mph,,residential
66.023,25 mph,,motorway_link
54.808,25 mph,2,motorway_link
50.226,25 mph,1,trunk
108.839,25 mph,1,residential
28.292,30 mph,1,motorway_link
12.939,,,secondary
256.193,,,secondary
76.877,,"['4', '2']",secondary
23.987000000000002,15 mph,2,tertiary
357.31300000000005,15 mph,2,tertiary
630.9210000000003,,1,motorway_link
259.677,25 mph,1,secondary_link
437.0339999999999,25 mph,"['4', '3']",tertiary
59.268,25 mph,,primary
77.366,25 mph,1,residential
80.92599999999999,25 mph,3,primary
328.92499999999995,,1,motorway_link
271.20300000000003,40 mph,2,motorway
195.578,,1,residential
91.60499999999999,,1,residential
383.479,25 mph,1,secondary
37.445,25 mph,1,secondary
73.299,25 mph,3,unclassified
160.788,,2,primary
47.106,,1,motorway_link
